GO;EV1;EV2;EV3;EX1;EX2;EX3;SU1;SU2;SU3;NV1;NV2;NV3;EV1;EV2;EV3;EX1;EX2;EX3;SU1;SU2;SU3;NV1;NV2;NV3
Actin binding;;;;;;;1.82532;;;;;;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1.82532;0,0000;0,0000;0,0000;0,0000;0,0000
ATPase activity;;;;1.23533;;;;;;1.68159;1.56978;1.49592;0,0000;0,0000;0,0000;1.23533;0,0000;0,0000;0,0000;0,0000;0,0000;1.68159;1.56978;1.49592
Cadherin binding;;1.10865;;1.26991;1.24261;1.27949;;;;;1.12589;0.983362;0,0000;1.10865;0,0000;1.26991;1.24261;1.27949;0,0000;0,0000;0,0000;0,0000;1.12589;0.983362
Cell adhesion molecule binding;1.30785;1.16146;1.03207;1.0914;1.12371;1.13234;;;;0.86176;0.973905;0.955977;1.30785;1.16146;1.03207;1.0914;1.12371;1.13234;0,0000;0,0000;0,0000;0.86176;0.973905;0.955977
Disordered domain specific binding;;;;3.28996;3.31219;2.95473;;;;3.67665;2.82134;2.26892;0,0000;0,0000;0,0000;3.28996;3.31219;2.95473;0,0000;0,0000;0,0000;3.67665;2.82134;2.26892
DNA helicase activity;;;;;;;;;;2.62229;2.554;;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2.62229;2.554;0,0000
GDP binding;1.32264;1.36891;1.32687;;;;;;;;;;1.32264;1.36891;1.32687;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Guanyl ribonucleotide binding;;1.23269;1.15665;;;;;;;;;;0,0000;1.23269;1.15665;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
GTPase activity;;1.38606;1.38056;;;;;;;;;;0,0000;1.38606;1.38056;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Helicase activity;;;;;;;;;;1.82715;1.82258;;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1.82715;1.82258;0,0000
Insulin receptor substrate binding;;;;9.99933;;;;;;;;;0,0000;0,0000;0,0000;9.99933;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
MHC class II protein complex binding;;4.27941;3.97596;4.67292;6.10272;5.98657;7.11091;7.30117;7.26981;;3.53334;;0,0000;4.27941;3.97596;4.67292;6.10272;5.98657;7.11091;7.30117;7.26981;0,0000;3.53334;0,0000
MHC protein complex binding;4.795;3.79816;3.57087;4.16103;4.65756;4.70863;6.00997;6.17138;6.2343;;;;4.795;3.79816;3.57087;4.16103;4.65756;4.70863;6.00997;6.17138;6.2343;0,0000;0,0000;0,0000
Modified amino acid binding;4.25669;;;;;;;;;;;;4.25669;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
mRNA binding;2.92685;4.8661;5.54293;;;;;;;;;;2.92685;4.8661;5.54293;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Nucleoside binding;;1.2584;1.21937;;;;;;;;;;0,0000;1.2584;1.21937;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Protein domain specific binding;;1.02607;0.972604;;;;;;;;;;0,0000;1.02607;0.972604;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Protein kinase binding;;1.16452;;;;;;;;;;;0,0000;1.16452;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Protein-containing complex binding;;;0.86791;;;;;;;;;;0,0000;0,0000;0.86791;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Purine ribonucleoside binding;;1.27031;1.19109;;;;;;;;;;0,0000;1.27031;1.19109;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Nucleoside-triphosphatase activity;;0.796052;;;;;;;;1.1624;1.07231;;0,0000;0.796052;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1.1624;1.07231;0,0000
Signaling receptor binding;;1.22581;1.16633;;;;;;;;;;0,0000;1.22581;1.16633;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Structural constituent of cytoskeleton;1.1821;1.88995;;2.88887;2.9224;2.79474;2.67046;2.57612;2.54071;2.49496;2.62648;3.22068;1.1821;1.88995;0,0000;2.88887;2.9224;2.79474;2.67046;2.57612;2.54071;2.49496;2.62648;3.22068
